Date,Time,Location,Weather,Crab Trap or Pitfall Trap,Species,Carapace Length (mm),Shell Length,Worm Length
6/14/2024,7:00 AM,Pinole Shores,Sunny,Crab Trap,Metacarcinus magister,39,-,-
6/14/2024,7:00 AM,Pinole Shores,Sunny,Crab Trap,Metacarcinus magister,42,-,-
6/14/2024,7:00 AM,Pinole Shores,Sunny,Crab Trap,Metacarcinus magister,41,-,-
6/14/2024,7:00 AM,Pinole Shores,Sunny,Crab Trap,Hemigrapsus nudus,12,-,-
6/14/2024,7:00 AM,Pinole Shores,Sunny,Crab Trap,Hemigrapsus nudus,25,-,-
6/14/2024,7:00 AM,Pinole Shores,Sunny,Crab Trap,Hemigrapsus oregonensis,21,-,-
6/14/2024,7:00 AM,Pinole Shores,Sunny,Crab Trap,Metacarcinus magister,53,-,-
6/14/2024,7:00 AM,Pinole Shores,Sunny,Crab Trap,Cancer productus,80,-,-
6/14/2024,9:00 AM,Point Pinole,Sunny,Crab Trap,Hemigrapsus oregonensis,23,-,-
6/14/2024,9:00 AM,Point Pinole,Sunny,Crab Trap,Leptocottus armatus,-,-,-
6/14/2024,9:00 AM,Point Pinole,Sunny,Crab Trap,Cancer productus,57,-,-
6/14/2024,9:00 AM,Point Pinole,Sunny,Crab Trap,Metacarcinus magister,49,-,-
6/14/2024,9:00 AM,Point Pinole,Sunny,Crab Trap,Leptocottus armatus,-,-,-
6/14/2024,9:00 AM,Point Pinole,Sunny,Crab Trap,Leptocottus armatus,-,-,-
6/14/2024,9:00 AM,Point Pinole,Sunny,Crab Trap,Cancer productus,41,-,-
6/14/2024,9:00 AM,Point Pinole,Sunny,Pitfall Trap,Gemma gemma,,5,-
6/14/2024,9:00 AM,Point Pinole,Sunny,Pitfall Trap,Pachygrapsus crassipes,41,-,-
6/14/2024,9:00 AM,Point Pinole,Sunny,Pitfall Trap,Ostrea lurida,,61,-
6/14/2024,9:00 AM,Point Pinole,Sunny,Pitfall Trap,Hemigrapsus nudus,16,-,-
6/14/2024,9:00 AM,Point Pinole,Sunny,Pitfall Trap,Hemigrapsus oregonensis,19,-,-
6/14/2024,9:00 AM,Point Pinole,Sunny,Pitfall Trap,Sipuncula spp.,-,-,68
6/14/2024,9:00 AM,Point Pinole,Sunny,Pitfall Trap,Hemigrapsus oregonensis,24,-,-
6/14/2024,12:00 PM,Castro Cove,Sunny,Crab Trap,Leptocottus armatus,-,-,-
6/14/2024,12:00 PM,Castro Cove,Sunny,Crab Trap,Cancer productus,68,-,-
6/14/2024,12:00 PM,Castro Cove,Sunny,Crab Trap,Cancer productus,23,-,-
6/14/2024,12:00 PM,Castro Cove,Sunny,Crab Trap,Leptocottus armatus,-,-,-
6/14/2024,12:00 PM,Castro Cove,Sunny,Crab Trap,Hemigrapsus nudus,21,-,-
6/14/2024,12:00 PM,Castro Cove,Sunny,Crab Trap,Metacarcinus gracilis,78,-,-
6/14/2024,12:00 PM,Castro Cove,Sunny,Crab Trap,Metacarcinus gracilis,45,-,-
6/14/2024,12:00 PM,Castro Cove,Sunny,Crab Trap,Metacarcinus magister,48,-,-
6/14/2024,12:00 PM,Castro Cove,Sunny,Crab Trap,Metacarcinus magister,39,-,-
6/14/2024,1:00 PM,Point San Pablo,Sunny,Crab Trap,Metacarcinus gracilis,56,-,-
6/14/2024,1:00 PM,Point San Pablo,Sunny,Crab Trap,Cancer productus,78,-,-
6/14/2024,1:00 PM,Point San Pablo,Sunny,Crab Trap,Hemigrapsus nudus,18,-,-
6/14/2024,1:00 PM,Point San Pablo,Sunny,Crab Trap,Metacarcinus magister,38,-,-
6/14/2024,1:00 PM,Point San Pablo,Sunny,Crab Trap,Leptocottus armatus,-,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Crab Trap,Metacarcinus magister,41,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Crab Trap,Pachygrapsus crassipes,43,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Crab Trap,Leptocottus armatus,-,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Crab Trap,Metacarcinus gracilis,23,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Crab Trap,Pachygrapsus crassipes,45,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Crab Trap,Metacarcinus magister,47,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Crab Trap,Metacarcinus gracilis,40,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Crab Trap,Metacarcinus magister,4,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Crab Trap,Pachygrapsus crassipes,32,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Crab Trap,Hemigrapsus nudus,23,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Crab Trap,Cancer productus,101,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Ostrea lurida,-,45,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Gemma gemma,-,6,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Hemigrapsus nudus,11,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Gemma gemma,-,3,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Hemigrapsus nudus,15,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Ostrea lurida,-,53,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Hemigrapsus oregonensis,16,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Ostrea lurida,-,67,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Hemigrapsus oregonensis,17,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Pachygrapsus crassipes,28,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Ostrea lurida,-,61,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Sipuncula spp.,-,-,142